Cycle Nr.,Time [s],Temp. [°C],A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11,A12,B12,C12,D12,E12,F12,G12,H12
1,0,36.7,0.147599995,0.0744,0.088799998,0.079800002,0.081,0.076300003,0.094300002,0.076700002,0.075300001,0.080300003,0.0788,0.086999997,0.074500002,0.0788,0.089699998,0.075300001,0.075800002,0.0832,0.079300001,0.085500002,0.0757,0.078199998,0.092200004,0.077500001,0.077200003,0.082599998,0.0854,0.086499996,0.075000003,0.0788,0.089599997,0.077299997,0.077399999,0.082800001,0.080600001,0.086999997,0.075099997,0.076200001,0.095100001,0.076800004,0.076800004,0.083999999,0.079599999,0.085699998,0.073899999,0.076800004,0.0902,0.078900002,0.080499999,0.081900001,0.080399998,0.083700001,0.0748,0.075999998,0.088299997,0.074900001,0.077600002,0.080700003,0.079099998,0.081699997,0.075000003,0.078500003,0.094599999,0.0757,0.076300003,0.081799999,0.079700001,0.082400002,0.075800002,0.078299999,0.097400002,0.170599997,0.075000003,0.081200004,0.079400003,0.081799999,0.075099997,0.078900002,0.103799999,0.294699997,0.073700003,0.081200004,0.078500003,0.083999999,0.075599998,0.077100001,0.099399999,0.131500006,0.075000003,0.083899997,0.0792,0.082500003,0.074299999,0.073799998,0.079999998,0.163699999
2,609.7,36.8,0.1017,0.075000003,0.090800002,0.080300003,0.078599997,0.074699998,0.083499998,0.075499997,0.075999998,0.080899999,0.079499997,0.086900003,0.074000001,0.0788,0.086900003,0.076499999,0.074100003,0.080600001,0.0788,0.081799999,0.075199999,0.075999998,0.084700003,0.076700002,0.079400003,0.082099997,0.088500001,0.0858,0.077699997,0.081100002,0.084399998,0.078299999,0.074600004,0.078400001,0.079000004,0.079800002,0.074900001,0.075300001,0.087099999,0.077399999,0.074000001,0.079899997,0.078699999,0.080399998,0.072899997,0.075499997,0.081799999,0.079800002,0.078199998,0.078199998,0.079899997,0.079499997,0.074100003,0.074699998,0.083400004,0.075800002,0.075400002,0.078000002,0.078599997,0.078400001,0.074600004,0.077,0.089299999,0.076700002,0.073899999,0.078100003,0.078199998,0.079400003,0.076099999,0.077,0.086900003,0.1061,0.072700001,0.078100003,0.0801,0.0788,0.073600002,0.077,0.093800001,0.178000003,0.0735,0.077,0.081699997,0.082400002,0.074699998,0.075400002,0.095100001,0.1215,0.074699998,0.082099997,0.078000002,0.080899999,0.075199999,0.074900001,0.079999998,0.0933
3,1219.4,36.8,0.078299999,0.074600004,0.090700001,0.080499999,0.080499999,0.0757,0.086300001,0.077299997,0.075400002,0.080499999,0.078400001,0.086400002,0.075199999,0.079099998,0.086300001,0.076300003,0.073299997,0.080600001,0.079000004,0.080600001,0.0748,0.077,0.086300001,0.077500001,0.081699997,0.084299996,0.088200003,0.086999997,0.079099998,0.081500001,0.084100001,0.078500003,0.075099997,0.078400001,0.079800002,0.079400003,0.0748,0.075099997,0.087200001,0.078599997,0.073299997,0.078299999,0.078299999,0.078900002,0.073899999,0.076300003,0.084299996,0.082599998,0.078500003,0.078000002,0.079700001,0.079599999,0.074900001,0.075099997,0.084399998,0.075199999,0.076200001,0.078699999,0.079400003,0.079700001,0.0744,0.0779,0.089699998,0.077799998,0.0744,0.078599997,0.079000004,0.079099998,0.075599998,0.076200001,0.086900003,0.085900001,0.071599998,0.077100001,0.078400001,0.078199998,0.075000003,0.076700002,0.094599999,0.124700002,0.073100001,0.076700002,0.083400004,0.082400002,0.074199997,0.075300001,0.093500003,0.101899996,0.074600004,0.081699997,0.079999998,0.081,0.0748,0.0744,0.080899999,0.090700001
4,1829.1,37.1,0.075400002,0.0744,0.090099998,0.079899997,0.079700001,0.0744,0.084100001,0.076200001,0.076099999,0.079800002,0.078500003,0.0858,0.074000001,0.077699997,0.084299996,0.075000003,0.073299997,0.079599999,0.079800002,0.079700001,0.075000003,0.076700002,0.084700003,0.077500001,0.080200002,0.086099997,0.089900002,0.084899999,0.078500003,0.082900003,0.086499996,0.079800002,0.075300001,0.078199998,0.079499997,0.079899997,0.075099997,0.075199999,0.085500002,0.079099998,0.073700003,0.0788,0.078199998,0.0792,0.0722,0.0735,0.083099999,0.078199998,0.078000002,0.077299997,0.0801,0.078299999,0.073799998,0.072899997,0.081799999,0.074699998,0.077,0.077799998,0.079000004,0.076700002,0.073399998,0.076700002,0.087300003,0.075300001,0.074299999,0.077500001,0.078500003,0.078199998,0.076399997,0.076499999,0.086499996,0.080399998,0.074000001,0.077,0.080600001,0.077,0.073600002,0.075599998,0.091399997,0.094599999,0.072499998,0.076899998,0.0832,0.079899997,0.074699998,0.075099997,0.092600003,0.096500002,0.073100001,0.080399998,0.079400003,0.079999998,0.074199997,0.073299997,0.078900002,0.089699998
5,2438.8,37.2,0.072700001,0.074199997,0.090800002,0.080200002,0.079499997,0.075000003,0.083400004,0.0766,0.077100001,0.079800002,0.0801,0.087800004,0.0748,0.078500003,0.084399998,0.075599998,0.072300002,0.082000002,0.0788,0.078699999,0.0744,0.076200001,0.0854,0.078500003,0.075800002,0.084399998,0.090599999,0.0858,0.079400003,0.076300003,0.085000001,0.078699999,0.074500002,0.077,0.079499997,0.0788,0.074199997,0.075199999,0.086199999,0.079400003,0.073600002,0.078000002,0.078500003,0.078699999,0.072899997,0.074600004,0.081799999,0.079300001,0.078599997,0.077500001,0.080300003,0.078400001,0.073899999,0.073600002,0.082699999,0.074199997,0.076800004,0.077799998,0.080200002,0.077299997,0.075099997,0.076099999,0.086999997,0.076200001,0.074199997,0.078900002,0.0779,0.078699999,0.074900001,0.076200001,0.084899999,0.074199997,0.0735,0.076300003,0.077799998,0.077200003,0.075300001,0.076499999,0.092299998,0.082000002,0.071999997,0.076200001,0.079300001,0.080899999,0.075400002,0.074500002,0.093000002,0.083800003,0.074199997,0.081799999,0.079300001,0.079700001,0.075400002,0.073899999,0.078900002,0.085199997
6,3048.5,37.3,0.072999999,0.074199997,0.0911,0.080499999,0.079899997,0.074699998,0.0823,0.077200003,0.078100003,0.081,0.079300001,0.088,0.073399998,0.077799998,0.084100001,0.076300003,0.072899997,0.081699997,0.078699999,0.079599999,0.073700003,0.076300003,0.083899997,0.077500001,0.082800001,0.0876,0.089599997,0.084299996,0.078599997,0.078900002,0.086099997,0.078400001,0.0744,0.077799998,0.078500003,0.078900002,0.074600004,0.076200001,0.087099999,0.077399999,0.075000003,0.078400001,0.079499997,0.079800002,0.073200002,0.075599998,0.081500001,0.080700003,0.079499997,0.077600002,0.080499999,0.0788,0.074199997,0.074000001,0.082800001,0.074100003,0.077399999,0.077600002,0.080300003,0.078299999,0.074900001,0.076700002,0.084600002,0.074600004,0.074600004,0.078299999,0.078299999,0.0788,0.075900003,0.075199999,0.083499998,0.076099999,0.071999997,0.077100001,0.077600002,0.076899998,0.074900001,0.075800002,0.089599997,0.078000002,0.072999999,0.077799998,0.082500003,0.0836,0.074199997,0.074699998,0.091200002,0.087099999,0.073200002,0.081699997,0.080499999,0.079700001,0.074000001,0.075999998,0.080200002,0.089500003
7,3658.2,36.8,0.073799998,0.075900003,0.089400001,0.080799997,0.079400003,0.075099997,0.085900001,0.078000002,0.076200001,0.079499997,0.078599997,0.086099997,0.073600002,0.078599997,0.085100003,0.077,0.073100001,0.082099997,0.079099998,0.079300001,0.073799998,0.075800002,0.086400002,0.078199998,0.082199998,0.086800002,0.087399997,0.084399998,0.077200003,0.0788,0.083999999,0.077799998,0.075000003,0.077600002,0.078900002,0.078699999,0.074000001,0.074299999,0.0858,0.075900003,0.074299999,0.078000002,0.078299999,0.078900002,0.072700001,0.074500002,0.083999999,0.078100003,0.079599999,0.078199998,0.080700003,0.079300001,0.074900001,0.075000003,0.083300002,0.075400002,0.076499999,0.077399999,0.078199998,0.077500001,0.075099997,0.077600002,0.086400002,0.075000003,0.075199999,0.078900002,0.078100003,0.078400001,0.075199999,0.076099999,0.083999999,0.074500002,0.075499997,0.078400001,0.078599997,0.077299997,0.075499997,0.076099999,0.091499999,0.079999998,0.0726,0.077299997,0.077699997,0.082099997,0.074299999,0.074500002,0.093000002,0.094899997,0.073399998,0.081699997,0.079800002,0.079300001,0.074299999,0.074100003,0.081500001,0.086499996
8,4267.9,36.8,0.073700003,0.075999998,0.090400003,0.081100002,0.079700001,0.075599998,0.083700001,0.077100001,0.077799998,0.080300003,0.0801,0.088,0.074699998,0.079499997,0.0845,0.077200003,0.073799998,0.082599998,0.079999998,0.0801,0.0748,0.077399999,0.087700002,0.079400003,0.082099997,0.088500001,0.089599997,0.083899997,0.078400001,0.078400001,0.0854,0.080200002,0.076700002,0.079300001,0.080499999,0.080799997,0.074900001,0.076399997,0.087300003,0.079099998,0.076099999,0.079700001,0.079400003,0.079999998,0.072800003,0.0757,0.083899997,0.079700001,0.080499999,0.079499997,0.0814,0.080799997,0.074500002,0.0744,0.082099997,0.075599998,0.077399999,0.078500003,0.078900002,0.078199998,0.074199997,0.0779,0.087200001,0.075499997,0.075599998,0.079800002,0.0792,0.079700001,0.076499999,0.076499999,0.085000001,0.0757,0.075599998,0.078400001,0.079000004,0.077299997,0.075800002,0.077299997,0.090800002,0.0779,0.073299997,0.078299999,0.082999997,0.080899999,0.073799998,0.074699998,0.091399997,0.090599999,0.074699998,0.082599998,0.079999998,0.079899997,0.0748,0.075000003,0.080600001,0.095600002
9,4877.6,37.2,0.073700003,0.074600004,0.090499997,0.080799997,0.080700003,0.0766,0.084299996,0.077699997,0.076200001,0.0788,0.079300001,0.086400002,0.074699998,0.0788,0.086400002,0.076300003,0.073600002,0.082999997,0.079099998,0.079499997,0.0766,0.076300003,0.084899999,0.078400001,0.082500003,0.085699998,0.088799998,0.084799998,0.0792,0.080200002,0.084700003,0.078500003,0.076499999,0.078699999,0.080399998,0.079599999,0.074100003,0.073600002,0.084600002,0.077399999,0.074900001,0.079000004,0.079400003,0.079099998,0.073299997,0.075099997,0.083999999,0.079400003,0.080200002,0.0788,0.080799997,0.079999998,0.075599998,0.074600004,0.085100003,0.076800004,0.078100003,0.078100003,0.079000004,0.078400001,0.074699998,0.077799998,0.086000003,0.075099997,0.075499997,0.078699999,0.078500003,0.079599999,0.077399999,0.076499999,0.086499996,0.075099997,0.074199997,0.0779,0.079999998,0.077,0.074500002,0.0757,0.090000004,0.0779,0.072899997,0.077500001,0.078000002,0.081600003,0.0744,0.075800002,0.092900001,0.0858,0.074199997,0.082800001,0.079999998,0.079300001,0.073600002,0.074000001,0.080600001,0.096100003
10,5487.3,36.9,0.074500002,0.076499999,0.094800003,0.082099997,0.079400003,0.075099997,0.0845,0.077100001,0.079400003,0.080499999,0.080799997,0.088299997,0.074299999,0.078400001,0.084100001,0.075800002,0.074299999,0.083499998,0.079700001,0.079999998,0.077600002,0.078199998,0.087899998,0.079099998,0.083099999,0.088299997,0.089100003,0.087300003,0.0801,0.080799997,0.0858,0.0801,0.076099999,0.079000004,0.081299998,0.0801,0.075900003,0.075499997,0.086800002,0.078900002,0.076399997,0.079400003,0.079999998,0.079999998,0.073700003,0.075000003,0.0832,0.082000002,0.0823,0.081100002,0.082500003,0.080600001,0.077,0.075300001,0.084299996,0.075300001,0.079499997,0.079099998,0.080399998,0.078400001,0.075800002,0.078400001,0.088399999,0.077299997,0.075400002,0.079700001,0.081,0.0792,0.075099997,0.0766,0.0867,0.076099999,0.0757,0.079099998,0.079800002,0.0779,0.073799998,0.076800004,0.0933,0.078699999,0.074299999,0.079400003,0.078900002,0.082900003,0.074199997,0.075800002,0.092699997,0.082699999,0.075199999,0.083099999,0.081200004,0.080499999,0.074699998,0.074699998,0.080499999,0.093599997
11,6097,36.9,0.074000001,0.075999998,0.094300002,0.081299998,0.080399998,0.076200001,0.087800004,0.078199998,0.078699999,0.080899999,0.080899999,0.089199997,0.073899999,0.078100003,0.084600002,0.075900003,0.075199999,0.0845,0.080600001,0.081299998,0.075900003,0.077399999,0.086000003,0.077600002,0.083999999,0.0889,0.090800002,0.086099997,0.079599999,0.077699997,0.084799998,0.0801,0.077600002,0.079700001,0.081600003,0.080799997,0.0766,0.075300001,0.085600004,0.0766,0.076800004,0.080600001,0.081500001,0.0814,0.073700003,0.0757,0.080399998,0.081100002,0.083899997,0.082199998,0.0832,0.081799999,0.0748,0.074900001,0.084700003,0.074699998,0.078400001,0.079800002,0.080799997,0.080300003,0.0748,0.078100003,0.089100003,0.077100001,0.078400001,0.080200002,0.078699999,0.079099998,0.074900001,0.076300003,0.086999997,0.076499999,0.0766,0.079400003,0.079300001,0.077799998,0.072899997,0.075800002,0.092600003,0.077699997,0.074299999,0.080200002,0.084200002,0.080799997,0.074199997,0.076899998,0.090000004,0.0823,0.075099997,0.082599998,0.081100002,0.080399998,0.0744,0.074299999,0.080600001,0.092900001
12,6706.7,37.2,0.075800002,0.077299997,0.094499998,0.082000002,0.081299998,0.077500001,0.084899999,0.077699997,0.081100002,0.080799997,0.080899999,0.088,0.0748,0.077799998,0.086599998,0.077200003,0.075599998,0.084899999,0.080899999,0.080899999,0.078199998,0.077600002,0.086499996,0.079099998,0.084100001,0.087800004,0.090499997,0.087700002,0.081100002,0.0823,0.0867,0.080300003,0.078100003,0.080300003,0.081900001,0.081799999,0.077100001,0.075499997,0.0854,0.077100001,0.077600002,0.082000002,0.0814,0.081799999,0.075499997,0.076099999,0.082900003,0.0832,0.085600004,0.083700001,0.085199997,0.082199998,0.076099999,0.075199999,0.0836,0.076099999,0.079800002,0.079599999,0.080600001,0.079000004,0.0748,0.078199998,0.087800004,0.075900003,0.078500003,0.0823,0.080600001,0.079700001,0.076700002,0.077399999,0.087099999,0.076800004,0.077200003,0.079099998,0.079400003,0.077699997,0.072899997,0.075599998,0.092600003,0.078299999,0.075400002,0.080499999,0.0801,0.079899997,0.074900001,0.075300001,0.090499997,0.089400001,0.075099997,0.083400004,0.081100002,0.080499999,0.075000003,0.075099997,0.081100002,0.103299998
